Team,Player,PPG,APG,Conf
Wright State,Ayden Davis,5.0,0.0,HORIZON
IU Indy,Aiden Miller,4.9,1.0,HORIZON
Milwaukee,Esyah Pippa-White,4.4,2.2,HORIZON
Cleveland State,Kamari Jones,4.2,0.4,HORIZON
Robert Morris,Kaleb Brown,4.1,2.4,HORIZON
Cleveland State,David Giddens,4.0,0.4,HORIZON
Detroit Mercy,Ryan Kalambay,4.0,0.5,HORIZON
Purdue Fort Wayne,Ebrahim Kaba,4.0,0.8,HORIZON
Robert Morris,Cam Kearney,4.0,0.6,HORIZON
Green Bay,LeBron Thomas,3.9,0.9,HORIZON
Green Bay,Dontrell Hewlett,3.8,1.5,HORIZON
Wright State,Bryan Etumnu,3.8,0.6,HORIZON
Green Bay,Ramel Bethea,3.7,0.2,HORIZON
Purdue Fort Wayne,Mason Shrout,3.7,0.4,HORIZON
Oakland,Warren Marshall IV,3.6,0.3,HORIZON
Robert Morris,Jeremiah Littlejohn,3.6,0.2,HORIZON
Green Bay,Rob Stroud,3.5,0.1,HORIZON
Purdue Fort Wayne,Deangelo Elisee,3.5,0.4,HORIZON
Green Bay,Mac Wrecke,3.3,0.3,HORIZON
Northern Kentucky,Shawn Nelson,3.3,0.7,HORIZON
Cleveland State,Holden Pierre-Louis,3.2,1.0,HORIZON
Detroit Mercy,Nate Johnson,3.2,0.4,HORIZON
Purdue Fort Wayne,EJ Mosley,3.2,0.8,HORIZON
Wright State,Sam Alamutu,3.2,1.2,HORIZON
Purdue Fort Wayne,Yuval Levin,3.1,0.7,HORIZON
Purdue Fort Wayne,Chris Morgan,2.9,1.0,HORIZON
Youngstown State,Andrew King,2.9,3.0,HORIZON
Green Bay,Maruan Cicic,2.8,0.1,HORIZON
Northern Kentucky,Donovan Rakotonanahary,2.8,0.5,HORIZON
Youngstown State,Tyler Robinett,2.8,0.4,HORIZON
Green Bay,Josh Hines,2.7,0.9,HORIZON
Green Bay,Vukasin Todorovic,2.7,0.9,HORIZON
Youngstown State,Derrick Anderson,2.7,1.0,HORIZON
Oakland,Khoi Thurmon,2.6,1.4,HORIZON
Cleveland State,Lucas Burton,2.5,0.5,HORIZON
Detroit Mercy,Je'kel Cotton,2.5,0.1,HORIZON
IU Indy,Reece Hagy,2.5,0.8,HORIZON
Detroit Mercy,Jared Lary,2.3,0.7,HORIZON
Robert Morris,Eddie Cooke III,2.3,0.9,HORIZON
Youngstown State,Shaheed Solebo,2.3,0.9,HORIZON
Green Bay,Keegan Van Kauwenberg,2.2,0.6,HORIZON
Cleveland State,Ivan Spirov,2.1,0.3,HORIZON
Cleveland State,Manny Hill,1.9,0.7,HORIZON
Detroit Mercy,Xavier Istomin-Monroe,1.9,0.1,HORIZON
Northern Kentucky,Mitchel Minor,1.8,0.0,HORIZON
Detroit Mercy,Zak Abdalla,1.7,0.3,HORIZON
IU Indy,Corey Boston,1.6,0.1,HORIZON
Robert Morris,Samuel Obenjo,1.6,0.7,HORIZON
Northern Kentucky,Bryce Darbyshire,1.5,0.4,HORIZON
IU Indy,Lav Cvetkovic',1.4,0.2,HORIZON
Milwaukee,Simeon Murchison,1.3,0.1,HORIZON
Cleveland State,Kevo St. Hilaire,1.1,0.1,HORIZON
IU Indy,Gabe Stewart,1.1,0.2,HORIZON
Northern Kentucky,Addison Archer,1.1,0.2,HORIZON
Northern Kentucky,Ryan Tolliver,1.1,0.2,HORIZON
Oakland,Nate Deer,1.1,0.1,HORIZON
IU Indy,Garrett Sever,1.0,0.7,HORIZON
Oakland,MJ Yeager,0.9,0.0,HORIZON
IU Indy,Ajay Holubar,0.8,0.5,HORIZON
Milwaukee,Tate MacKenzie,0.8,0.1,HORIZON
Robert Morris,Ubong Okon,0.7,0.1,HORIZON
Milwaukee,Austin Villarreal,0.5,0.0,HORIZON
Green Bay,Brady Fitzgerald,0.0,0.0,HORIZON
Robert Morris,Cyril Arvanitis,0.0,0.0,HORIZON
Drake,Jalen Quinn,19.8,3.1,MVC
Bradley,Jaquan Johnson,17.4,3.5,MVC
Murray State,Javon Jackson,16.2,2.8,MVC
Belmont,Tyler Lundblade,15.7,1.8,MVC
Southern Illinois,Quel'Ron House,14.9,3.2,MVC
Murray State,Roman Domon,14.0,1.5,MVC
Illinois State,Chase Walker,13.7,2.2,MVC
Indiana State,Ian Scott,13.5,2.5,MVC
Northern Iowa,Trey Campbell,13.3,3.9,MVC
Murray State,Fredrick King,13.0,0.8,MVC
Valparaiso,Owen Dease,13.0,1.1,MVC
IllinoisâChicago,Elijah Crawford,12.9,4.6,MVC
Belmont,Sam Orme,12.6,1.8,MVC
Bradley,Alex Huibregtse,12.4,1.6,MVC
Evansville,AJ Casey,12.2,2.0,MVC
IllinoisâChicago,Ahmad Henderson II,12.1,2.3,MVC
IllinoisâChicago,Andy Johnson,12.0,1.8,MVC
Valparaiso,JT Pettigrew,11.9,1.6,MVC
Northern Iowa,Leon Bond III,11.7,1.5,MVC
Evansville,Connor Turnbull,11.5,1.1,MVC
Indiana State,Camp Wagner,11.4,1.8,MVC
Illinois State,Johnny Kinziger,11.3,3.1,MVC
Northern Iowa,Will Hornseth,11.2,2.0,MVC
Belmont,Drew Scharnowski,10.9,2.7,MVC
Evansville,Leif Moeller,10.7,3.8,MVC
Illinois State,Ty'Reek Coleman,10.7,1.9,MVC
Belmont,Nic McClain,10.4,6.3,MVC
Valparaiso,Rakim Chaney,10.3,2.7,MVC
Indiana State,Sterling Young,10.2,1.9,MVC
Illinois State,Boden Skunberg,10.1,1.3,MVC
Southern Illinois,Drew Steffe,9.8,2.6,MVC
Northern Iowa,Ben Schwieger,9.7,1.8,MVC
Southern Illinois,Rolyns Aligbe,9.7,0.6,MVC
Drake,Jaehshon Thomas,9.6,1.7,MVC
Drake,Okku Federiko,9.3,1.6,MVC
Evansville,Joshua Hughes,9.3,0.8,MVC
Bradley,Demarion Burch,9.0,1.0,MVC
Illinois State,Ty Pence,9.0,1.7,MVC
Northern Iowa,Tristan Smith,9.0,1.6,MVC
Belmont,Jabez Jenkins,8.8,1.2,MVC
Drake,Owen Larson,8.7,2.4,MVC
Southern Illinois,Damien Mayo Jr.,8.7,2.3,MVC
Belmont,Jack Smiley,8.6,2.5,MVC
Drake,Eli Shetlar,8.6,1.3,MVC
Drake,Wilguens Jr. Exacte,8.6,1.9,MVC
Evansville,Bryce Quinet,8.6,2.3,MVC
Indiana State,Derek Vorst,8.5,1.4,MVC
Bradley,Montana Wheeler,8.4,2.9,MVC
Valparaiso,Brody Whitaker,8.4,1.4,MVC
Bradley,AJ Smith,8.2,1.3,MVC
Southern Illinois,Jalen Haynes,8.2,2.1,MVC
IllinoisâChicago,Abdul Momoh,8.1,0.9,MVC
Murray State,Layne Taylor,8.1,3.4,MVC
IllinoisâChicago,Mekhi Lowery,8.0,2.1,MVC
IllinoisâChicago,Rashund Washington Jr.,7.9,0.8,MVC
Valparaiso,Justus McNair,7.9,1.1,MVC
Bradley,Ahmet Jonovic,7.8,1.3,MVC
Indiana State,Xavier Hall,7.8,4.2,MVC
Belmont,Eoin Dillon,7.7,1.3,MVC
Indiana State,Markus Harding,7.5,0.8,MVC
Drake,Andrew Alia,7.4,1.4,MVC
Murray State,JJ Traynor,7.4,0.7,MVC
Southern Illinois,Isaiah Stafford,7.3,0.9,MVC
Belmont,Brigham Rogers,7.2,1.7,MVC
Illinois State,Landon Wolf,7.2,0.7,MVC
Evansville,Alex Hemenway,7.1,0.9,MVC
Southern Illinois,Davion Sykes,7.1,0.7,MVC
Southern Illinois,Prince Aligbe,7.1,0.7,MVC
Evansville,Keishon Porter,6.9,1.3,MVC
IllinoisâChicago,Josiah Hammons,6.9,0.5,MVC
Valparaiso,Shon Tupuola,6.7,0.6,MVC
Bradley,Timoty van der Knaap,6.6,0.4,MVC
IllinoisâChicago,Jayce Nathaniel,6.6,1.1,MVC
Northern Iowa,Max Weisbrod,6.4,2.0,MVC
Indiana State,Bruno Alocen,6.2,1.5,MVC
Murray State,KJ Tenner,6.0,2.0,MVC
Murray State,Mason Miller,6.0,0.5,MVC
Illinois State,Mason Klabo,5.9,1.1,MVC
Indiana State,Enel St. Bernard,5.9,1.0,MVC
Indiana State,Jo Van Buggenhout,5.9,3.0,MVC
Murray State,Brayden Shorter,5.9,0.5,MVC
Belmont,Aidan Noyes,5.3,0.3,MVC
Drake,Braden Appelhans,5.3,0.5,MVC
Bradley,Corey Thomas,5.2,0.7,MVC
Evansville,Trent Hundley,4.8,0.6,MVC
Murray State,Mathis Courbon,4.8,1.2,MVC
Northern Iowa,Kyle Pock,4.1,0.2,MVC
Drake,Isaiah Carr,4.0,0.7,MVC
Illinois State,Landon Moore,4.0,0.9,MVC
Valparaiso,Isaiah Barnes,4.0,0.6,MVC
IllinoisâChicago,Ante Beljan,3.9,0.2,MVC
Valparaiso,Carter Hopoi,3.8,0.7,MVC
Valparaiso,Tucker Tornatta,3.5,0.5,MVC
Drake,Griffen Goodbary,3.4,0.8,MVC
Illinois State,Brandon Lieb,3.4,0.7,MVC
Northern Iowa,Ismael Diouf,3.4,1.1,MVC
Illinois State,Jack Daugherty,3.1,0.2,MVC
Belmont,Win Miller,3.0,0.6,MVC
IllinoisâChicago,Sam Silverstein,3.0,1.9,MVC
Southern Illinois,Jorge Moreno,3.0,0.5,MVC
Valparaiso,Mark Brown,3.0,1.3,MVC
Belmont,Isaiah West,2.9,1.8,MVC
Bradley,Kai Yu,2.5,0.3,MVC
Evansville,James Dyson-Merwe,2.5,0.9,MVC
Indiana State,Jayan Walker,2.5,0.5,MVC
Valparaiso,Sader Servilus,2.5,0.7,MVC
Bradley,Dietrich Richardson,2.4,0.4,MVC
Northern Iowa,RJ Taylor,2.3,1.1,MVC
Evansville,Kaia Berridge,2.2,0.8,MVC
Evansville,Marlon Barnes Jr.,2.0,0.0,MVC
Indiana State,Hunter Harding,2.0,0.6,MVC
Indiana State,Zyair Greene,2.0,0.0,MVC
Murray State,Brock Vice,2.0,0.2,MVC
Southern Illinois,Max Pikaar,1.9,0.3,MVC
Belmont,Cooper Haynes,1.8,0.4,MVC
Northern Iowa,Geon Hutchins,1.8,0.2,MVC
Indiana State,Sivert Nordheim,1.6,0.1,MVC
Bradley,Matthew Zobrist,1.4,0.1,MVC
Indiana State,Cooper Bean,1.4,0.6,MVC
Murray State,Dylan Anderson,1.4,0.4,MVC
Southern Illinois,Jaheem Webber,1.4,0.2,MVC
Belmont,Keith Robbins,1.3,0.2,MVC
IllinoisâChicago,Carlos Harris III,1.3,1.3,MVC
Illinois State,Cameron Barnes,1.3,0.5,MVC
Southern Illinois,Caden Hawkins,1.3,0.6,MVC
Illinois State,Ty Blake,1.0,0.0,MVC
Northern Iowa,Chase Courbat,1.0,0.1,MVC
Valparaiso,Camden Webster,1.0,0.2,MVC
Belmont,Graydon Lemke,0.9,0.1,MVC
IllinoisâChicago,Tai Walters-Whitaker,0.8,0.9,MVC
Indiana State,Caden Huttenlocker,0.8,0.1,MVC
Belmont,Jake Dykstra,0.6,0.1,MVC
Evansville,Leo Amari IV,0.6,0.2,MVC
Valparaiso,Joe Vick,0.4,0.4,MVC
Valparaiso,Kyonte Thomas,0.3,0.2,MVC
Bradley,Gus Rugaard,0.0,0.0,MVC
Bradley,Handy Toussaint III,0.0,0.0,MVC
Evansville,Weston Aigner,0.0,0.2,MVC
Northern Iowa,Hunter Jacobson,0.0,0.0,MVC
Valparaiso,Nick Lombardi,0.0,0.0,MVC
Merrimack,Kevair Kennedy,18.3,4.1,MAAC
Fairfield,Braden Sparks,17.6,2.6,MAAC
Sacred Heart,Anquan Hill,17.5,1.0,MAAC
Siena,Gavin Doty,17.4,2.3,MAAC
Quinnipiac,Jaden Zimmerman,16.2,2.2,MAAC
Merrimack,Ernest Shelton,16.0,0.8,MAAC
Manhattan,Jaden Winston,15.7,3.8,MAAC
Quinnipiac,Amarri Monroe,15.5,2.3,MAAC
Rider,Flash Burton,15.0,2.9,MAAC
Iona,CJ Anthony,14.5,5.3,MAAC
Fairfield,Brandon Benjamin,14.3,1.3,MAAC
Sacred Heart,Dashon Gittens,14.1,2.7,MAAC
Saint Peter's,Brent Bland,14.0,1.5,MAAC
Sacred Heart,Nyle Ralph-Beyer,13.9,0.8,MAAC
Canisius,Kahlil Singleton,13.8,0.9,MAAC
Canisius,Bryan Ndjonga,13.7,1.8,MAAC
Rider,Zion Cruz,13.2,2.0,MAAC
Siena,Justice Shoats,13.0,4.3,MAAC
Manhattan,Devin Dinkins,12.5,2.7,MAAC
Fairfield,Declan Wucherpfennig,12.4,1.4,MAAC
Marist,Justin Menard,12.4,3.8,MAAC
Marist,Rhyjon Blackwell,12.2,1.9,MAAC
Niagara,Justin Page,12.1,2.5,MAAC
Marist,Elijah Lewis,12.0,2.1,MAAC
Quinnipiac,Asim Jones,12.0,4.0,MAAC
Manhattan,Terrance Jones,11.9,1.7,MAAC
Mount St. Mary's,Arlandus Keyes,11.9,3.1,MAAC
Iona,Toby Harris,11.6,0.7,MAAC
Merrimack,Tye Dorset,11.5,2.2,MAAC
Iona,Lamin Sabally,11.4,3.0,MAAC
Mount St. Mary's,Luke McEldon,11.4,1.2,MAAC
Sacred Heart,Yann Farell,11.4,1.1,MAAC
Manhattan,Fraser Roxburgh,11.2,1.2,MAAC
Quinnipiac,Grant Randall,11.2,0.8,MAAC
Mount St. Mary's,Trey Deveaux,11.1,0.9,MAAC
Saint Peter's,Bryce Eaton,11.1,4.0,MAAC
Siena,Francis Folefac,10.9,2.0,MAAC
Quinnipiac,Keith McKnight,10.8,1.2,MAAC
Iona,Kosy Akametu,10.4,0.9,MAAC
Mount St. Mary's,Xavier Lipscomb,9.7,4.0,MAAC
Saint Peter's,TJ Robinson,9.7,2.6,MAAC
Siena,Tasman Goodrick,9.7,1.3,MAAC
Manhattan,Anthony Isaac,9.6,0.9,MAAC
Iona,Denver Anglin,9.3,1.8,MAAC
Canisius,Michael Evbagharu,8.9,3.1,MAAC
Saint Peter's,Zaakir Williamson,8.9,0.9,MAAC
Fairfield,Deuce Turner,8.7,1.6,MAAC
Iona,Keshawn Williams,8.5,1.1,MAAC
Merrimack,Andres Marrero,8.4,1.3,MAAC
Mount St. Mary's,Abdou Khadre KÃ©bÃ©,8.2,1.1,MAAC
Niagara,Justin Hawkins,8.2,2.3,MAAC
Siena,Brendan Coyle,8.2,0.9,MAAC
Marist,Jason Schofield,8.0,1.1,MAAC
Niagara,Trenton Walters,7.8,2.7,MAAC
Mount St. Mary's,Justin Amadi,7.7,0.4,MAAC
Niagara,Vice Zanki,7.7,0.8,MAAC
Saint Peter's,Jahki Gupton,7.7,0.7,MAAC
Sacred Heart,Mekhi Conner,7.6,6.2,MAAC
Siena,Antonio Chandler,7.3,0.4,MAAC
Canisius,Marcus Niblack,6.9,2.9,MAAC
Niagara,Josiah Sabino,6.9,0.9,MAAC
Rider,Caleb Smith,6.9,1.4,MAAC
Rider,Shemani Fuller,6.9,0.8,MAAC
Sacred Heart,Abdou Yadd,6.8,0.6,MAAC
Marist,Jadin Collins,6.6,3.1,MAAC
Canisius,Javante Edwards,6.5,2.0,MAAC
Rider,Davis Bynum,6.3,0.5,MAAC
Marist,Tarik Watson,6.1,0.3,MAAC
Niagara,Will Shortt,6.0,0.6,MAAC
Fairfield,Tony Williams,5.9,1.8,MAAC
Manhattan,Marko Ljubicic,5.9,0.6,MAAC
Mount St. Mary's,Anthony Arrington,5.9,1.2,MAAC
Merrimack,Todd Brogna,5.8,2.5,MAAC
Saint Peter's,Lucas Scroggins,5.8,0.4,MAAC
Niagara,Brian Griffith,5.7,1.4,MAAC
Niagara,Reggie Prudhomme,5.7,2.5,MAAC
Merrimack,KC Ugwuakazi,5.6,0.6,MAAC
Iona,Luke Jungers,5.4,0.3,MAAC
Canisius,Myles Wilmoth,5.3,1.4,MAAC
Marist,Jaden Daughtry,5.3,1.7,MAAC
Marist,Myles Parker,5.3,0.7,MAAC
Marist,Parby Kabamba,5.3,0.9,MAAC
Niagara,Landon Williams,5.3,1.0,MAAC
Sacred Heart,Jaden Slaughter,5.3,1.1,MAAC
Fairfield,Eric Mejia,4.9,1.6,MAAC
Siena,Christian Jones,4.9,1.2,MAAC
Quinnipiac,Samson Reilly,4.4,0.4,MAAC
Saint Peter's,Adetokunbo Bakare,4.4,0.5,MAAC
Fairfield,Halon Rawlins,4.3,1.1,MAAC
Mount St. Mary's,Mason So,4.1,2.4,MAAC
Saint Peter's,Eric Morgan Jr.,4.1,0.7,MAAC
Canisius,Anthony Benard,4.0,1.8,MAAC
Sacred Heart,Jeremiah Jacobs,4.0,0.0,MAAC
Siena,Isaiah Henderson,4.0,0.5,MAAC
Manhattan,Quron Elliott,3.9,0.9,MAAC
Saint Peter's,Elijah Perkins,3.9,1.9,MAAC
Canisius,Brendan Oliver,3.8,0.2,MAAC
Mount St. Mary's,Patrick Haigh,3.8,0.4,MAAC
Rider,Daniel Helterhoff,3.8,0.4,MAAC
Canisius,Christopher Kumu,3.7,0.2,MAAC
Mount St. Mary's,Anastasios Rozakeas,3.7,0.5,MAAC
Fairfield,Cam Estevez,3.6,0.9,MAAC
Quinnipiac,Tai Turnage,3.5,2.1,MAAC
Sacred Heart,Fallou Gueye,3.5,1.2,MAAC
Manhattan,Erik Oliver-Bush,3.3,1.0,MAAC
Rider,AB Coulibaly,3.3,0.3,MAAC
Saint Peter's,J'Quan Ewing,3.3,0.3,MAAC
Saint Peter's,Shaedon Simpson,3.3,0.3,MAAC
Siena,Riley Mulvey,3.3,1.4,MAAC
Fairfield,Nasir Rodriguez,3.2,0.4,MAAC
Sacred Heart,Taj Bryant,3.2,1.5,MAAC
Iona,Khalil Badru,3.0,0.1,MAAC
Rider,Antwan Wilson,3.0,0.7,MAAC
Rider,Mohamad Diallo,3.0,0.2,MAAC
Niagara,Drew Larson,2.8,0.6,MAAC
Quinnipiac,Spence Wewe,2.8,0.4,MAAC
Siena,Owen Schlager,2.8,0.6,MAAC
Iona,Alliou Fall,2.7,1.1,MAAC
Quinnipiac,Nate Guerengomba,2.7,0.8,MAAC
Saint Peter's,Bol Agu,2.7,0.2,MAAC
Manhattan,Asier Miguel Torrero,2.6,0.4,MAAC
Manhattan,Michael Lawlor,2.6,0.4,MAAC
Quinnipiac,Christopher Skenderi,2.6,0.2,MAAC
Rider,Cole McCabe,2.6,0.4,MAAC
Marist,Jordan Gabriel,2.5,0.3,MAAC
Niagara,Kabeya Tshibangu,2.5,0.5,MAAC
Fairfield,Isaac Munkadi,2.4,0.1,MAAC
Canisius,Max Jusianiec,2.3,0.8,MAAC
Sacred Heart,Lucius Gibson-Savadel,2.3,0.2,MAAC
Iona,Chase Cormier,2.1,0.3,MAAC
Saint Peter's,Robert Wilmote,2.0,0.0,MAAC
Merrimack,Dylan Veillette,1.9,0.2,MAAC
Mount St. Mary's,Yakhya Diop,1.9,0.1,MAAC
Rider,Devean Williams,1.9,1.1,MAAC
Canisius,King Ijeoma,1.8,0.1,MAAC
Canisius,Evan van der Plas,1.7,0.1,MAAC
Quinnipiac,Braylan Ritvo,1.7,0.1,MAAC
Rider,Kristupas Kepezinskas,1.7,0.4,MAAC
Marist,Ricky McKenzie,1.5,0.1,MAAC
Merrimack,Aliou Cisse,1.5,0.2,MAAC
Niagara,AJ McBride,1.5,0.2,MAAC
Fairfield,Joe Ganton,1.3,0.0,MAAC
Fairfield,Michael Rogan,1.3,0.2,MAAC
Fairfield,Ryan Zan,1.3,0.2,MAAC
Marist,Martin Kawa,1.3,0.2,MAAC
Niagara,Gael Dalmau Torresola,1.3,0.2,MAAC
Siena,Tajae Jones,1.3,0.0,MAAC
Merrimack,Jaylen Stinson,1.2,0.6,MAAC
Rider,Jamir McNeil,1.2,0.6,MAAC
Canisius,Andreo Ash,1.1,0.2,MAAC
Iona,Matthew Reed,1.1,0.1,MAAC
Manhattan,Omari Moore,1.1,0.3,MAAC
Merrimack,Malik Edmead,1.1,0.7,MAAC
Rider,Maurizio D'Alessandro,1.0,0.0,MAAC
Sacred Heart,Malik Sheppard,1.0,0.0,MAAC
Mount St. Mary's,Elijah Espinosa,0.8,0.5,MAAC
Fairfield,Tanner Ostop,0.7,0.0,MAAC
Manhattan,Aryan Arora,0.7,1.3,MAAC
Manhattan,Brett Rumpel,0.7,0.0,MAAC
Manhattan,Jackson Delaney,0.7,0.2,MAAC
Merrimack,Brendan Johnson,0.7,0.0,MAAC
Marist,Trace Salton,0.6,0.1,MAAC
Canisius,Trevor Augustine,0.5,0.0,MAAC
Fairfield,Luke Davidson,0.5,0.3,MAAC
Quinnipiac,Ronell Giles Jr.,0.5,0.6,MAAC
Quinnipiac,Samuel Osayi Nosakhare,0.5,0.3,MAAC
Siena,Chris Torres,0.5,0.3,MAAC
Siena,Marcus Jackson,0.5,0.7,MAAC
Canisius,Zach Christian,0.4,0.0,MAAC
Quinnipiac,Akintola Akinniyi,0.4,0.0,MAAC
Canisius,Nicco DiGiulio,0.3,0.4,MAAC
Mount St. Mary's,John Miller IV,0.2,0.2,MAAC
Iona,Connor Horan,0.0,0.0,MAAC
Iona,Oscar Hourruitiner,0.0,0.0,MAAC
Marist,Antoni Vlogianitis,0.0,0.1,MAAC
Merrimack,Brandon Legris,0.0,0.0,MAAC
Mount St. Mary's,Noah Rogers,0.0,0.0,MAAC
Sacred Heart,Alex Woodring,0.0,0.0,MAAC
Siena,Cooper Nadler,0.0,0.0,MAAC
Siena,Danny Murray,0.0,0.0,MAAC
Siena,Mosi Clayton,0.0,0.0,MAAC
Stephen F. Austin,Keon Thompson,18.3,4.4,SOUTHLAND
Incarnate Word,Davion Bailey,18.2,2.0,SOUTHLAND
Northwestern State,Micah Thomas,17.5,2.6,SOUTHLAND
Incarnate Word,Tahj Staveskie,17.3,4.1,SOUTHLAND
McNeese State,Larry Johnson,16.9,1.5,SOUTHLAND
New Orleans,Coleton Benson,16.3,1.7,SOUTHLAND
Lamar,Rob Lee Jr.,16.0,2.0,SOUTHLAND
Stephen F. Austin,Lateef Patrick Jr.,15.2,1.7,SOUTHLAND
East Texas A&M,Ronnie Harrison,14.9,1.9,SOUTHLAND
McNeese State,Tyshawn Archie,14.0,2.8,SOUTHLAND
New Orleans,Jakevion Buckley,13.9,5.5,SOUTHLAND
TexasâRio Grande Valley,Koree Cotton,13.4,2.4,SOUTHLAND
Nicholls State,Jalik Dunkley,13.3,1.1,SOUTHLAND
TexasâRio Grande Valley,Filip Brankovic,13.1,1.8,SOUTHLAND
Incarnate Word,Jordan Pyke,12.6,1.6,SOUTHLAND
Nicholls State,Jaylen Searles,12.6,2.0,SOUTHLAND
Lamar,Braden East,12.5,0.7,SOUTHLAND
Houston Christian,Elijah Brooks,12.3,3.1,SOUTHLAND
Lamar,Andrew Holifield,12.3,1.6,SOUTHLAND
Texas A&MâCorpus Christi,Nicholas Shogbonyo,11.9,1.4,SOUTHLAND
Texas A&MâCorpus Christi,Sheldon Williams,11.5,0.9,SOUTHLAND
Nicholls State,Sincere Malone,11.4,3.1,SOUTHLAND
McNeese State,Javohn Garcia,11.3,1.7,SOUTHLAND
New Orleans,MJ Thomas,11.0,1.4,SOUTHLAND
Nicholls State,Trae English,11.0,3.4,SOUTHLAND
East Texas A&M,Gianni Hunt,11.0,4.8,SOUTHLAND
Southeastern Louisiana,Jeremy Elyzee,10.8,1.8,SOUTHLAND
East Texas A&M,Damian Garcia,10.8,2.2,SOUTHLAND
Southeastern Louisiana,Isaiah Gaines,10.7,1.7,SOUTHLAND
TexasâRio Grande Valley,Marvin McGhee III,10.6,0.9,SOUTHLAND
Houston Christian,Kylin Green,10.2,4.6,SOUTHLAND
Northwestern State,Izzy Miles,10.2,1.3,SOUTHLAND
Texas A&MâCorpus Christi,Mason Gibson,10.0,1.3,SOUTHLAND
East Texas A&M,Noah Pagotto,9.9,0.9,SOUTHLAND
Houston Christian,Demarco Bethea,9.8,1.3,SOUTHLAND
Houston Christian,Demari Williams,9.8,0.9,SOUTHLAND
Nicholls State,Zee Hamoda,9.8,1.2,SOUTHLAND
Northwestern State,Willie Williams,9.8,1.5,SOUTHLAND
TexasâRio Grande Valley,Jaylen Washington,9.8,4.0,SOUTHLAND
Stephen F. Austin,Narit Chotikavanic,9.6,0.6,SOUTHLAND
TexasâRio Grande Valley,Kye Dickson,9.2,0.3,SOUTHLAND
Houston Christian,Ryan Bartley,9.0,1.1,SOUTHLAND
Incarnate Word,Harold Woods,8.8,1.3,SOUTHLAND
McNeese State,DJ Richards,8.6,0.8,SOUTHLAND
New Orleans,Churchill Abass,8.5,0.4,SOUTHLAND
Houston Christian,D'Aundre Samuels,8.3,2.0,SOUTHLAND
Houston Christian,Trent Johnson,8.3,2.3,SOUTHLAND
McNeese State,Garwey Dual,8.3,4.2,SOUTHLAND
New Orleans,Tavaj Cope,8.3,0.9,SOUTHLAND
East Texas A&M,Vinny Sigona,8.1,1.9,SOUTHLAND
Stephen F. Austin,Kam Burton,8.0,0.3,SOUTHLAND
Nicholls State,Christian Winborne,7.9,1.1,SOUTHLAND
Southeastern Louisiana,Jalen Forrest,7.9,0.6,SOUTHLAND
Southeastern Louisiana,Makhi Myles,7.9,0.6,SOUTHLAND
Texas A&MâCorpus Christi,DA Houston,7.7,2.8,SOUTHLAND
TexasâRio Grande Valley,Julien Gomez,7.4,1.6,SOUTHLAND
Northwestern State,Chris Mubiru,7.3,1.9,SOUTHLAND
Southeastern Louisiana,Seth Jones,7.3,1.0,SOUTHLAND
Northwestern State,Justin Redmond,6.9,1.3,SOUTHLAND
Lamar,Cody Pennebaker,6.8,2.4,SOUTHLAND
Texas A&MâCorpus Christi,Franck Yetna,6.8,1.2,SOUTHLAND
Southeastern Louisiana,Peter Hemschemeier,6.6,1.9,SOUTHLAND
Stephen F. Austin,Chrishawn Christmas,6.5,1.9,SOUTHLAND
Lamar,King-Njhsanni Wilhite,6.1,2.6,SOUTHLAND
McNeese State,Jerrell Colbert,6.1,0.4,SOUTHLAND
Texas A&MâCorpus Christi,Cenker Evran,6.0,0.9,SOUTHLAND
McNeese State,Jacolb Cole,5.8,1.6,SOUTHLAND
New Orleans,Enzo Boudouma,5.6,0.9,SOUTHLAND
Texas A&MâCorpus Christi,Leo Torbor,5.6,1.8,SOUTHLAND
Houston Christian,Mambourou Mara,5.4,0.8,SOUTHLAND
Northwestern State,Omar Adegbola,5.4,0.5,SOUTHLAND
Southeastern Louisiana,Ethan Pickett,5.2,1.3,SOUTHLAND
Lamar,Errol White,5.1,1.3,SOUTHLAND
Stephen F. Austin,Jerald Colonel,5.1,1.3,SOUTHLAND
East Texas A&M,Josh Taylor,5.1,0.8,SOUTHLAND
TexasâRio Grande Valley,Zae Blake,5.0,1.4,SOUTHLAND
Incarnate Word,Harrison Reede,4.9,0.1,SOUTHLAND
Southeastern Louisiana,Jaiden Lawrence,4.9,0.6,SOUTHLAND
East Texas A&M,Michael Folarin,4.9,0.6,SOUTHLAND
Texas A&MâCorpus Christi,Kam Parker,4.9,1.7,SOUTHLAND
Stephen F. Austin,Gediminas Alisas,4.8,1.4,SOUTHLAND
East Texas A&M,Tay Mosher,4.8,1.2,SOUTHLAND
Nicholls State,Jalin Rice,4.7,1.0,SOUTHLAND
Nicholls State,Zaiden Cross,4.7,0.3,SOUTHLAND
Stephen F. Austin,Ahamed Mohammed,4.6,1.6,SOUTHLAND
McNeese State,Carl Cherenfant,4.5,0.9,SOUTHLAND
New Orleans,Kedrick Osby,4.4,0.2,SOUTHLAND
Northwestern State,Kordrick Turner,4.4,0.3,SOUTHLAND
Lamar,Jayden Gambrell,4.3,0.5,SOUTHLAND
New Orleans,Panagiotis Pagonis,4.3,1.1,SOUTHLAND
Southeastern Louisiana,C.J. Booker,4.3,1.9,SOUTHLAND
