Team,Team_norm,TR_3P_Rate,TR_ORB_Pct,TR_TOV_PerPoss,Pulled_At_UTC
nc central,nc central,0.33899999999999997,0.272,0.177,2026-03-25 12:14:48
nc greensboro,nc greensboro,0.402,0.254,0.146,2026-03-25 12:14:48
nc state,nc state,0.434,0.264,0.128,2026-03-25 12:14:48
nc wilmington,nc wilmington,0.38799999999999996,0.344,0.145,2026-03-25 12:14:48
nebraska,nebraska,0.507,0.253,0.141,2026-03-25 12:14:48
nevada,nevada,0.322,0.307,0.14400000000000002,2026-03-25 12:14:48
new hampshire,new hampshire,0.431,0.237,0.162,2026-03-25 12:14:48
new haven,new haven,0.39799999999999996,0.192,0.17300000000000001,2026-03-25 12:14:48
new mexico,new mexico,0.41700000000000004,0.292,0.147,2026-03-25 12:14:48
new mexico st,new mexico st,0.387,0.311,0.146,2026-03-25 12:14:48
new orleans,new orleans,0.337,0.336,0.198,2026-03-25 12:14:48
niagara,niagara,0.405,0.21600000000000003,0.184,2026-03-25 12:14:48
nicholls,nicholls,0.439,0.27,0.17,2026-03-25 12:14:48
njit,njit,0.401,0.23800000000000002,0.16699999999999998,2026-03-25 12:14:48
norfolk st,norfolk st,0.306,0.29600000000000004,0.182,2026-03-25 12:14:48
north carolina,north carolina,0.42200000000000004,0.28800000000000003,0.135,2026-03-25 12:14:48
north dakota,north dakota,0.406,0.258,0.138,2026-03-25 12:14:48
northeastern,northeastern,0.37799999999999995,0.251,0.16,2026-03-25 12:14:48
northwestern,northwestern,0.34,0.256,0.127,2026-03-25 12:14:48
notre dame,notre dame,0.435,0.293,0.165,2026-03-25 12:14:48
nw state,nw state,0.33899999999999997,0.233,0.17800000000000002,2026-03-25 12:14:48
oakland,oakland,0.34,0.284,0.14300000000000002,2026-03-25 12:14:48
ohio,ohio,0.381,0.264,0.151,2026-03-25 12:14:48
ohio st,ohio st,0.401,0.27399999999999997,0.15,2026-03-25 12:14:48
oklahoma,oklahoma,0.43799999999999994,0.321,0.141,2026-03-25 12:14:48
oklahoma st,oklahoma st,0.355,0.282,0.154,2026-03-25 12:14:48
old dominion,old dominion,0.36200000000000004,0.23,0.151,2026-03-25 12:14:48
omaha,omaha,0.409,0.226,0.157,2026-03-25 12:14:48
oral roberts,oral roberts,0.456,0.266,0.18100000000000002,2026-03-25 12:14:48
oregon,oregon,0.428,0.308,0.172,2026-03-25 12:14:48
oregon st,oregon st,0.44299999999999995,0.248,0.174,2026-03-25 12:14:48
pacific,pacific,0.353,0.32299999999999995,0.195,2026-03-25 12:14:48
penn,penn,0.354,0.28300000000000003,0.15,2026-03-25 12:14:48
penn st,penn st,0.381,0.23800000000000002,0.153,2026-03-25 12:14:48
pepperdine,pepperdine,0.392,0.259,0.179,2026-03-25 12:14:48
pittsburgh,pittsburgh,0.426,0.317,0.16899999999999998,2026-03-25 12:14:48
portland,portland,0.354,0.26,0.192,2026-03-25 12:14:48
portland st,portland st,0.344,0.268,0.165,2026-03-25 12:14:48
prairie view,prairie view,0.306,0.239,0.154,2026-03-25 12:14:48
presbyterian,presbyterian,0.28,0.315,0.188,2026-03-25 12:14:48
princeton,princeton,0.445,0.247,0.16699999999999998,2026-03-25 12:14:48
providence,providence,0.405,0.29600000000000004,0.162,2026-03-25 12:14:48
purdue,purdue,0.406,0.35100000000000003,0.135,2026-03-25 12:14:48
purdue fw,purdue fw,0.45399999999999996,0.203,0.142,2026-03-25 12:14:48
queens,queens,0.465,0.284,0.14400000000000002,2026-03-25 12:14:48
quinnipiac,quinnipiac,0.337,0.33,0.156,2026-03-25 12:14:48
radford,radford,0.45399999999999996,0.265,0.166,2026-03-25 12:14:48
rhode island,rhode island,0.435,0.295,0.187,2026-03-25 12:14:48
rice,rice,0.441,0.336,0.172,2026-03-25 12:14:48
richmond,richmond,0.426,0.22899999999999998,0.14,2026-03-25 12:14:48
rider,rider,0.275,0.309,0.165,2026-03-25 12:14:48
robert morris,robert morris,0.40700000000000003,0.36700000000000005,0.182,2026-03-25 12:14:48
rutgers,rutgers,0.34600000000000003,0.28300000000000003,0.147,2026-03-25 12:14:48
s alabama,s alabama,0.365,0.21899999999999997,0.127,2026-03-25 12:14:48
s carolina st,s carolina st,0.33299999999999996,0.293,0.203,2026-03-25 12:14:48
s dakota st,s dakota st,0.38799999999999996,0.282,0.158,2026-03-25 12:14:48
s florida,s florida,0.43799999999999994,0.358,0.146,2026-03-25 12:14:48
s illinois,s illinois,0.292,0.29600000000000004,0.166,2026-03-25 12:14:48
s indiana,s indiana,0.397,0.28600000000000003,0.166,2026-03-25 12:14:48
s utah,s utah,0.355,0.264,0.198,2026-03-25 12:14:48
sacramento st,sacramento st,0.35600000000000004,0.239,0.138,2026-03-25 12:14:48
sacred heart,sacred heart,0.507,0.266,0.17300000000000001,2026-03-25 12:14:48
saint josephs,saint josephs,0.451,0.297,0.16399999999999998,2026-03-25 12:14:48
saint louis,saint louis,0.451,0.28800000000000003,0.16899999999999998,2026-03-25 12:14:48
saint marys,saint marys,0.364,0.363,0.16399999999999998,2026-03-25 12:14:48
saint peters,saint peters,0.387,0.359,0.17300000000000001,2026-03-25 12:14:48
sam houston,sam houston,0.358,0.33,0.163,2026-03-25 12:14:48
samford,samford,0.457,0.22399999999999998,0.131,2026-03-25 12:14:48
san diego,san diego,0.43700000000000006,0.259,0.172,2026-03-25 12:14:48
san diego st,san diego st,0.33799999999999997,0.28300000000000003,0.16899999999999998,2026-03-25 12:14:48
san francisco,san francisco,0.461,0.298,0.153,2026-03-25 12:14:48
san jose st,san jose st,0.38299999999999995,0.27399999999999997,0.14800000000000002,2026-03-25 12:14:48
santa clara,santa clara,0.45,0.34600000000000003,0.151,2026-03-25 12:14:48
sc upstate,sc upstate,0.35600000000000004,0.26,0.177,2026-03-25 12:14:48
se louisiana,se louisiana,0.395,0.26899999999999996,0.18,2026-03-25 12:14:48
se missouri st,se missouri st,0.36,0.28300000000000003,0.166,2026-03-25 12:14:48
seattle,seattle,0.39399999999999996,0.22,0.16399999999999998,2026-03-25 12:14:48
seton hall,seton hall,0.268,0.335,0.162,2026-03-25 12:14:48
sf austin,sf austin,0.39799999999999996,0.318,0.138,2026-03-25 12:14:48
siena,siena,0.322,0.302,0.155,2026-03-25 12:14:48
siu edward,siu edward,0.36200000000000004,0.28,0.174,2026-03-25 12:14:48
smu,smu,0.359,0.32799999999999996,0.152,2026-03-25 12:14:48
south carolina,south carolina,0.444,0.251,0.141,2026-03-25 12:14:48
south dakota,south dakota,0.359,0.262,0.162,2026-03-25 12:14:48
southern,southern,0.322,0.295,0.162,2026-03-25 12:14:48
southern miss,southern miss,0.287,0.308,0.18,2026-03-25 12:14:48
st bonaventure,st bonaventure,0.313,0.32,0.165,2026-03-25 12:14:48
st francis pa,st francis pa,0.37799999999999995,0.249,0.18,2026-03-25 12:14:48
st johns,st johns,0.34700000000000003,0.332,0.142,2026-03-25 12:14:48
st thomas,st thomas,0.46299999999999997,0.20199999999999999,0.141,2026-03-25 12:14:48
stanford,stanford,0.442,0.3,0.152,2026-03-25 12:14:48
stetson,stetson,0.447,0.248,0.17800000000000002,2026-03-25 12:14:48
stonehill,stonehill,0.405,0.259,0.19,2026-03-25 12:14:48
stony brook,stony brook,0.45799999999999996,0.24600000000000002,0.163,2026-03-25 12:14:48
syracuse,syracuse,0.37200000000000005,0.262,0.155,2026-03-25 12:14:48
tarleton st,tarleton st,0.242,0.28300000000000003,0.195,2026-03-25 12:14:48
tcu,tcu,0.368,0.32,0.149,2026-03-25 12:14:48
temple,temple,0.35700000000000004,0.262,0.133,2026-03-25 12:14:48
tenn tech,tenn tech,0.365,0.28600000000000003,0.187,2026-03-25 12:14:48
tennessee,tennessee,0.319,0.442,0.168,2026-03-25 12:14:48
tennessee st,tennessee st,0.307,0.32299999999999995,0.162,2026-03-25 12:14:48
texas,texas,0.355,0.341,0.147,2026-03-25 12:14:48
texas aandm,texas aandm,0.462,0.29600000000000004,0.14400000000000002,2026-03-25 12:14:48
texas aandm-cc,texas aandm-cc,0.314,0.282,0.18899999999999997,2026-03-25 12:14:48
texas so,texas so,0.325,0.273,0.182,2026-03-25 12:14:48
texas st,texas st,0.24600000000000002,0.321,0.182,2026-03-25 12:14:48
texas tech,texas tech,0.47600000000000003,0.321,0.154,2026-03-25 12:14:48
the citadel,the citadel,0.478,0.26,0.159,2026-03-25 12:14:48
toledo,toledo,0.325,0.271,0.14400000000000002,2026-03-25 12:14:48
towson,towson,0.349,0.348,0.155,2026-03-25 12:14:48
troy,troy,0.45899999999999996,0.326,0.168,2026-03-25 12:14:48
tulane,tulane,0.45,0.192,0.15,2026-03-25 12:14:48
tulsa,tulsa,0.466,0.304,0.15,2026-03-25 12:14:48
uab,uab,0.305,0.301,0.122,2026-03-25 12:14:48
uc davis,uc davis,0.435,0.225,0.175,2026-03-25 12:14:48
uc irvine,uc irvine,0.28,0.289,0.17300000000000001,2026-03-25 12:14:48
uc riverside,uc riverside,0.38299999999999995,0.258,0.18600000000000003,2026-03-25 12:14:48
ucf,ucf,0.348,0.331,0.156,2026-03-25 12:14:48
ucla,ucla,0.355,0.28800000000000003,0.131,2026-03-25 12:14:48
uconn,uconn,0.405,0.344,0.165,2026-03-25 12:14:48
ucsb,ucsb,0.441,0.298,0.183,2026-03-25 12:14:48
