Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,AdjD_Rank
Detroit Mercy,Horz,-5.65,108.7,114.3,69.0,0.085,232
Bethune Cookman,SWAC,-5.69,103.8,109.5,69.1,0.101,233
San Jose St.,MWC,-5.75,111.1,116.8,64.8,-0.015,234
San Diego,WCC,-5.8,108.6,114.4,68.4,0.001,235
Western Carolina,SC,-5.97,110.1,116.1,67.8,-0.016,236
Eastern Michigan,MAC,-6.05,102.6,108.6,66.2,-0.083,237
Idaho St.,BSky,-6.25,110.9,117.2,64.9,-0.041,238
Saint Peter's,MAAC,-6.28,104.1,110.4,65.4,0.065,239
Nicholls,Slnd,-6.39,106.6,113.0,68.4,0.055,240
American,PL,-6.43,105.5,111.9,66.7,-0.01,241
Texas St.,SB,-6.45,104.1,110.6,66.0,0.099,242
Old Dominion,SB,-6.47,106.2,112.6,69.1,-0.077,243
Charleston Southern,BSth,-6.47,106.3,112.7,71.4,-0.08,244
Vermont,AE,-6.51,107.4,113.9,65.0,0.004,245
Louisiana Tech,CUSA,-6.54,100.5,107.0,64.4,0.058,246
East Carolina,Amer,-6.92,103.7,110.7,68.5,-0.001,247
Wofford,SC,-6.93,110.1,117.0,67.8,0.09,248
Long Beach St.,BW,-6.97,106.0,113.0,68.2,-0.031,249
Iona,MAAC,-6.97,104.0,110.9,68.7,0.049,250
SIUE,OVC,-6.97,99.7,106.6,64.3,0.005,251
Princeton,Ivy,-7.0,106.3,113.3,63.2,-0.084,252
UNC Asheville,BSth,-7.06,105.1,112.1,64.6,-0.022,253
Colgate,PL,-7.09,107.7,114.8,66.8,0.054,254
Radford,BSth,-7.22,106.6,113.8,70.4,-0.024,255
Southern Utah,WAC,-7.38,106.1,113.5,70.0,-0.028,256
Purdue Fort Wayne,Horz,-7.53,106.4,113.9,67.8,0.129,257
UC Riverside,BW,-7.7,103.5,111.2,68.4,-0.049,258
Boston University,PL,-7.86,112.0,119.8,63.2,-0.054,259
Pepperdine,WCC,-7.87,105.7,113.5,68.5,-0.014,260
Nebraska Omaha,Sum,-7.96,107.2,115.2,67.1,0.032,261
Milwaukee,Horz,-8.12,107.1,115.3,67.3,0.01,262
Central Michigan,MAC,-8.21,106.8,115.0,67.0,-0.094,263
Florida Gulf Coast,ASun,-8.24,106.1,114.4,67.7,-0.021,264
Georgia Southern,SB,-8.39,108.1,116.5,70.6,0.033,265
Incarnate Word,Slnd,-8.5,108.7,117.2,65.5,-0.023,266
Dartmouth,Ivy,-8.57,105.1,113.7,69.3,0.0,267
Sacramento St.,BSky,-8.58,107.5,116.1,71.8,-0.013,268
Lindenwood,OVC,-8.65,101.8,110.4,72.2,0.024,269
Fairfield,MAAC,-8.72,106.9,115.6,66.9,0.083,270
